//X	Y	Z	Deviation[]	Amplitude[dB]	Reflectance[dB]
-5.853499889	18.939250946	-1.309249997	2.0000000000	22.4500007629	-8.0799999237
-5.853250027	18.939250946	-1.305750012	2.0000000000	22.8299999237	-7.6999998093
-5.850749969	18.938999176	-1.306750059	1.0000000000	20.2700004578	-6.5000000000
-5.853000164	18.940500259	-1.307999969	3.0000000000	21.3400001526	-4.7300000191
-5.840250015	18.936750412	-1.311499953	0.0000000000	22.6000003815	-7.9400000572
-5.843249798	18.938499451	-1.310750008	1.0000000000	20.6800003052	-6.0900001526
-5.842750072	18.937500000	-1.308249950	1.0000000000	23.2999992371	-7.2399997711
-5.842750072	18.937749863	-1.304749966	3.0000000000	23.2700004578	-7.2699999809
-5.844250202	18.940250397	-1.304250002	0.0000000000	20.7099990845	-6.0599999428
-5.842999935	18.940500259	-1.306499958	2.0000000000	17.1200008392	-6.6199998856
-5.845749855	18.935749054	-1.303500056	1.0000000000	20.2999992371	-5.7699999809
-5.854499817	18.937250137	-1.300500035	1.0000000000	20.0100002289	-6.0599999428
-5.852000237	18.938499451	-1.302000046	1.0000000000	22.2500000000	-8.2799997330
-5.850249767	18.937749863	-1.298249960	3.0000000000	22.4799995422	-8.0500001907
-5.851250172	18.940250397	-1.299999952	2.0000000000	20.9899997711	-5.7800002098
-5.842249870	18.937500000	-1.297000051	1.0000000000	23.0200004578	-7.5199999809
-5.845499992	18.943750381	-1.298249960	2.0000000000	21.0599994659	-5.6999998093
-5.835499763	18.939500809	-1.311499953	1.0000000000	21.0900001526	-5.6799998283
-5.835000038	18.937999725	-1.309499979	1.0000000000	23.0900001526	-7.4499998093
-5.838250160	18.936000824	-1.307000041	0.0000000000	20.1599998474	-5.9000000954
-5.835499763	18.938249588	-1.305750012	1.0000000000	23.1299991608	-7.4099998474
-5.835249901	18.938249588	-1.304250002	0.0000000000	21.0200004578	-5.7500000000
-5.826749802	18.938999176	-1.310250044	3.0000000000	23.2700004578	-7.2699999809
-5.829500198	18.940999985	-1.311750054	1.0000000000	21.7199993134	-5.0500001907
-5.829249859	18.939250946	-1.304749966	2.0000000000	21.7600002289	-5.0100002289
-5.826250076	18.938999176	-1.306249976	2.0000000000	22.9799995422	-7.5599999428
-5.837999821	18.935499191	-1.299999952	0.0000000000	21.7000007629	-4.3600001335
-5.832749844	18.933000565	-1.296499968	1.0000000000	9.8500003815	-10.8500003815
-5.836249828	18.938499451	-1.302500010	1.0000000000	23.1399993896	-7.4000000954
-5.839749813	18.936250687	-1.300250053	1.0000000000	22.7800006866	-7.7600002289
-5.835000038	18.937999725	-1.298750043	3.0000000000	22.9799995422	-7.5599999428
-5.835750103	18.938749313	-1.296499968	1.0000000000	21.1599998474	-5.6100001335
-5.826749802	18.938249588	-1.304000020	6.0000000000	16.9699993134	-6.7699999809
-5.827499866	18.939500809	-1.303750038	0.0000000000	19.5799999237	-6.4800000191
-5.826250076	18.938749313	-1.302749991	3.0000000000	23.0799999237	-7.4600000381
-5.829249859	18.938499451	-1.297749996	1.0000000000	21.5400009155	-5.2300000191
-5.827750206	18.939500809	-1.299499989	3.0000000000	22.6299991608	-7.9099998474
-5.827499866	18.939750671	-1.296749949	0.0000000000	19.4099998474	-6.6500000954
-5.853499889	18.938499451	-1.292500019	2.0000000000	20.4099998474	-5.6599998474
-5.851250172	18.938249588	-1.294250011	2.0000000000	22.2900009155	-8.2399997711
-5.850999832	18.937999725	-1.293249965	1.0000000000	21.4400005341	-5.3299999237
-5.851250172	18.938499451	-1.290500045	2.0000000000	22.2600002289	-8.2700004578
-5.845499992	18.936000824	-1.295750022	2.0000000000	20.5499992371	-5.5199999809
-5.846000195	18.938749313	-1.296000004	1.0000000000	17.1599998474	-6.5799999237
-5.840499878	18.936750412	-1.293499947	0.0000000000	23.0100002289	-7.5300002098
-5.844749928	18.940000534	-1.291249990	2.0000000000	19.8999996185	-6.8699998856
-5.842999935	18.928749084	-1.285500050	0.0000000000	5.4200000763	-14.8299999237
-5.845250130	18.935249329	-1.287750006	1.0000000000	19.5599994659	-6.5100002289
-5.853499889	18.939250946	-1.287750006	3.0000000000	22.4799995422	-8.0500001907
-5.852749825	18.938999176	-1.284999967	1.0000000000	21.3999996185	-4.6700000763
-5.850749969	18.937000275	-1.285249949	2.0000000000	22.1599998474	-4.6100001335
-5.854249954	18.939500809	-1.284000039	3.0000000000	23.3700008392	-7.1599998474
-5.854249954	18.939750671	-1.280750036	3.0000000000	23.0699996948	-7.4600000381
-5.847499847	18.937749863	-1.284749985	0.0000000000	17.9799995422	-5.7600002289
-5.840499878	18.936750412	-1.286000013	3.0000000000	22.2800006866	-8.2600002289
-5.844749928	18.939500809	-1.283750057	4.0000000000	20.4400005341	-6.3299999237
-5.840750217	18.936750412	-1.281999946	1.0000000000	22.8199996948	-7.7199997902
-5.843750000	18.937999725	-1.281499982	2.0000000000	20.2399997711	-5.8299999237
-5.835499763	18.937999725	-1.294749975	2.0000000000	23.6499996185	-6.8899998665
-5.836249828	18.938249588	-1.291749954	5.0000000000	19.8500003815	-6.2100000381
-5.836249828	18.938499451	-1.291499972	2.0000000000	23.7500000000	-6.7899999619
-5.836249828	18.939750671	-1.290249944	1.0000000000	21.5599994659	-5.2100000381
-5.839499950	18.936250687	-1.289499998	1.0000000000	22.7600002289	-7.7800002098
-5.827000141	18.939250946	-1.296000004	0.0000000000	23.0599994659	-7.4800000191
-5.827750206	18.939500809	-1.292000055	3.0000000000	23.1000003815	-7.4400000572
-5.828000069	18.937999725	-1.289999962	2.0000000000	19.6700000763	-6.3899998665
-5.827250004	18.938999176	-1.288249969	2.0000000000	23.0000000000	-7.5399999619
-5.830249786	18.940250397	-1.291499972	1.0000000000	22.0300006866	-4.7399997711
-5.836249828	18.938499451	-1.284250021	0.0000000000	22.8500003815	-7.6900000572
-5.832499981	18.937000275	-1.287250042	2.0000000000	22.6200008392	-7.9200000763
-5.837500095	18.938999176	-1.280750036	1.0000000000	22.8500003815	-7.6900000572
-5.836999893	18.940750122	-1.284000039	0.0000000000	20.2600002289	-6.5100002289
-5.835249901	18.940000534	-1.283499956	1.0000000000	19.8099994659	-6.2500000000
-5.828750134	18.939750671	-1.284999967	2.0000000000	22.4699993134	-8.0699996948
-5.830249786	18.940000534	-1.284000039	2.0000000000	21.1499996185	-5.6199998856
-5.829249859	18.940000534	-1.281499982	2.0000000000	22.5400009155	-8.0000000000
-5.825250149	18.943000793	-1.281499982	1.0000000000	19.4500007629	-6.6100001335
-5.921999931	18.973499298	-1.303750038	1.0000000000	18.6299991608	-5.1199998856
-5.912749767	18.954250336	-1.309499979	0.0000000000	9.2799997330	-16.7900009155
-5.912499905	18.954250336	-1.301749945	2.0000000000	9.0799999237	-16.9899997711
-5.906000137	18.957750320	-1.297749996	1.0000000000	19.7700004578	-3.9800000191
-5.891499996	18.947000504	-1.311249971	3.0000000000	19.5900001526	-6.4800000191
-5.888999939	18.946750641	-1.307749987	5.0000000000	10.9399995804	-12.4799995422
-5.897749901	18.951999664	-1.311750054	1.0000000000	17.1599998474	-6.5900001526
-5.897749901	18.954500198	-1.308249950	4.0000000000	14.8000001907	-8.6300001144
-5.903500080	18.958999634	-1.309249997	2.0000000000	19.7900009155	-3.9600000381
-5.903500080	18.958499908	-1.308249950	1.0000000000	19.4699993134	-6.5999999046
-5.902249813	18.954750061	-1.304749966	1.0000000000	14.1999998093	-6.0599999428
-5.897749901	18.953250885	-1.304999948	0.0000000000	21.2800006866	-4.7899999619
-5.900249958	18.957500458	-1.304499984	2.0000000000	19.9699993134	-6.7899999619
-5.891749859	18.952999115	-1.308500051	2.0000000000	19.4699993134	-7.2899999619
-5.891250134	18.947250366	-1.304000020	4.0000000000	20.0300006866	-6.0399999619
-5.890749931	18.948499680	-1.301249981	3.0000000000	20.5300006866	-6.2300000191
-5.896749973	18.953500748	-1.301249981	3.0000000000	17.5799999237	-6.1700000763
-5.903250217	18.958749771	-1.300250053	1.0000000000	18.5499992371	-7.5199999809
-5.898499966	18.952249527	-1.297999978	1.0000000000	14.3999996185	-6.3099999428
-5.897749901	18.952749252	-1.297999978	1.0000000000	20.5200004578	-5.5500001907
-5.901000023	18.958499908	-1.297500014	2.0000000000	19.2700004578	-7.4899997711
-5.895750046	18.954250336	-1.296749949	0.0000000000	15.7399997711	-7.6799998283
-5.905499935	18.963249207	-1.307250023	3.0000000000	16.6599998474	-6.7699999809
-5.913499832	18.966999054	-1.301249981	0.0000000000	18.8999996185	-4.8499999046
-5.912749767	18.972999573	-1.302749991	0.0000000000	16.0400009155	-7.3899998665
-5.916250229	18.970249176	-1.296499968	0.0000000000	14.4200000763	-5.8499999046
-5.910500050	18.969749451	-1.303500056	1.0000000000	19.1100006104	-7.6399998665
-5.911250114	18.971500397	-1.296249986	1.0000000000	19.2700004578	-7.4800000191
-5.904250145	18.959499359	-1.285249949	1.0000000000	18.4300003052	-5.3200001717
-5.896249771	18.951499939	-1.295500040	0.0000000000	15.8199996948	-11.6499996185
-5.899750233	18.951499939	-1.291249990	2.0000000000	17.8500003815	-5.9000000954
-5.897999763	18.951250076	-1.290249944	3.0000000000	20.8199996948	-5.2500000000
-5.890749931	18.946750641	-1.295250058	2.0000000000	19.4899997711	-6.5799999237
-5.891499996	18.950250626	-1.294499993	2.0000000000	19.8600006104	-6.9000000954
-5.894750118	18.950750351	-1.289749980	2.0000000000	19.1499996185	-8.3199996948
-5.900499821	18.953750610	-1.292750001	4.0000000000	16.2600002289	-7.1700000763
-5.903749943	18.956750870	-1.292999983	0.0000000000	19.1700000763	-6.9000000954
